"","x"
"573","Hematopoietic stem cells_CD133+ CD34dim"
"574","Hematopoietic stem cells_CD133+ CD34dim"
"575","Hematopoietic stem cells_CD133+ CD34dim"
"576","Erythroid_CD34+ CD71+ GlyA-"
"577","Hematopoietic stem cells_CD133+ CD34dim"
"578","Common myeloid progenitors"
"579","Erythroid_CD34+ CD71+ GlyA-"
"580","Common myeloid progenitors"
"581","Hematopoietic stem cells_CD133+ CD34dim"
"582","Erythroid_CD34+ CD71+ GlyA-"
"583","Hematopoietic stem cells_CD133+ CD34dim"
"584","Hematopoietic stem cells_CD133+ CD34dim"
"585","Common myeloid progenitors"
"586","Hematopoietic stem cells_CD133+ CD34dim"
"587","Megakaryocyte/erythroid progenitors"
"588","Hematopoietic stem cells_CD133+ CD34dim"
"589","Erythroid_CD34+ CD71+ GlyA-"
"590","Erythroid_CD34+ CD71+ GlyA-"
"591","Erythroid_CD34+ CD71+ GlyA-"
"592","Hematopoietic stem cells_CD133+ CD34dim"
"593","Hematopoietic stem cells_CD133+ CD34dim"
"594","Hematopoietic stem cells_CD133+ CD34dim"
"595","Erythroid_CD34+ CD71+ GlyA-"
"596","Hematopoietic stem cells_CD133+ CD34dim"
"597","Hematopoietic stem cells_CD133+ CD34dim"
"598","Colony Forming Unit-Monocytes"
"599","Early B cells"
"600","Erythroid_CD34+ CD71+ GlyA-"
"601","Common myeloid progenitors"
"602","Erythroid_CD34+ CD71+ GlyA-"
"603","Erythroid_CD34- CD71lo GlyA+"
"604","Common myeloid progenitors"
"605","Hematopoietic stem cells_CD133+ CD34dim"
"606","Megakaryocyte/erythroid progenitors"
"607","Megakaryocyte/erythroid progenitors"
"608","Common myeloid progenitors"
"609","Erythroid_CD34+ CD71+ GlyA-"
"610","Hematopoietic stem cells_CD133+ CD34dim"
"611","Erythroid_CD34+ CD71+ GlyA-"
"612","Erythroid_CD34+ CD71+ GlyA-"
"613","Hematopoietic stem cells_CD133+ CD34dim"
"614","Megakaryocyte/erythroid progenitors"
"615","Plasmacytoid Dendritic Cells"
"616","Hematopoietic stem cells_CD133+ CD34dim"
"617","Hematopoietic stem cells_CD133+ CD34dim"
"618","Common myeloid progenitors"
"619","Hematopoietic stem cells_CD133+ CD34dim"
"620","Common myeloid progenitors"
"621","Early B cells"
"622","Early B cells"
"623","Hematopoietic stem cells_CD133+ CD34dim"
"624","Hematopoietic stem cells_CD133+ CD34dim"
"625","Hematopoietic stem cells_CD133+ CD34dim"
"626","Common myeloid progenitors"
"627","Hematopoietic stem cells_CD133+ CD34dim"
"628","Common myeloid progenitors"
"629","Hematopoietic stem cells_CD133+ CD34dim"
